date,SMB_DT97,date_jun,RMW_DT97,CMA_DT97,HML_DT97
19711231,0.027445153,19720630,-0.018384172,0.015249439,-0.00836046
19720131,0.060179397,19720630,-0.047561617,0.047974543,0.01076701
19720229,-0.005620024,19720630,0.001467959,-0.002311462,-0.017627376
19720330,-0.007940298,19720630,0.013442068,0.002732629,-0.022358986
19720428,0.000656226,19720630,-0.002203513,0.012412137,-0.005362174
19720531,-0.044360022,19720630,0.016390361,-0.009792133,-0.015539541
19720630,-0.013733252,19720630,0.011330203,-0.006863886,-0.017073889
19680730,-0.0263093,19730629,0.003897182,0.010449203,0.0045631
19680830,0.017614134,19730629,0.009609897,-0.013693779,-0.007228206
19680930,0.033038818,19730629,-0.013779933,0.023408213,0.00957932
19681031,0.00354608,19730629,0.003566162,-0.000696391,0.008811698
19681129,0.017299153,19730629,-0.019089429,-0.008924896,0.007344697
19681231,0.0352906,19730629,-0.014728049,-0.001960128,0.002540035
19690131,-0.008111938,19730629,-0.02620235,0.005664232,0.011047445
19690228,-0.043274133,19730629,0.02362964,-0.002167875,-0.011852227
19690328,-0.018721696,19730629,0.011872295,-0.003102079,-0.021099235
19690430,-0.019242028,19730629,0.009209701,-0.014853759,-0.024574189
19690529,-0.01541015,19730629,0.002488367,-0.0172804,-0.014581712
19690630,-0.059302996,19730629,0.007039559,-0.009238522,-0.031023245
19690731,-0.043829972,19730629,0.000438528,-0.004584397,-0.007144516
19690829,0.002011432,19730629,0.006702335,-0.002072343,-0.03059956
19690930,0.003078805,19730629,0.013663582,-0.007368205,-0.027015301
19691031,0.024981651,19730629,0.008216062,-0.042286377,-0.022004315
19691128,-0.028244003,19730629,0.009583048,-0.002653808,-0.030619704
19691231,-0.046335664,19730629,0.03786161,-0.01763139,-0.031377736
19700130,0.022123358,19730629,-0.01268401,-0.021695724,0.004748939
19700227,-0.0217762,19730629,-0.015734962,0.015101301,0.035005475
19700331,-0.010795205,19730629,-0.008782269,0.029366773,0.026760874
19700430,-0.064159271,19730629,0.011207894,0.002638689,0.026142545
19700529,-0.049452934,19730629,0.014620422,0.013754953,0.008177504
19700630,-0.041049534,19730629,0.021118367,-0.024647168,-0.013789142
19700731,0.001253568,19730629,0.009503711,-0.002967481,0.002537196
19700831,0.020641039,19730629,0.010420721,0.012686155,-0.020749813
19700930,0.069539678,19730629,-0.002231579,-0.013990145,-0.042583008
19701030,-0.056122242,19730629,0.026822334,-0.024390078,-0.008785301
19701130,-0.038976443,19730629,0.012021762,-0.007942076,-0.007708463
19701231,0.044284338,19730629,-0.004970006,-0.012130462,0.038102575
19710129,0.077259805,19730629,-0.00706834,-0.013712416,-6.21E-05
19710226,0.016494204,19730629,0.017377544,-0.023228428,-0.021702665
19710331,0.011119211,19730629,0.019220265,-0.031351952,-0.03913365
19710430,-0.000136407,19730629,0.020007653,0.001848564,-0.036246905
19710528,-0.021528394,19730629,0.011641617,-0.014854557,-0.007165099
19710630,-0.03111997,19730629,0.012253132,-0.036208044,-0.018713806
19710730,-0.014034041,19730629,0.019146275,-0.012070945,-0.009161533
19710831,0.01534293,19730629,0.014443346,0.004556573,-0.005717315
19710930,-0.009972428,19730629,0.036586249,-0.044265794,-0.028808243
19711029,-0.028363186,19730629,0.022226158,-0.01508935,0.000806653
19711130,-0.030857899,19730629,0.035625327,-0.016265194,-0.039975631
19711231,0.035727336,19730629,0.008585712,-0.028160801,-0.019336318
19720131,0.066517772,19730629,-0.016483492,-0.00763761,-0.021046808
19720229,0.001647159,19730629,0.01139187,-0.034589441,-0.033247588
19720330,-0.005894117,19730629,0.017122935,-0.021158893,-0.04352172
19720428,-0.002267691,19730629,0.025830846,-0.019321925,-0.03992894
19720531,-0.045946424,19730629,0.03389968,-0.034656761,-0.04564042
19720630,-0.017571899,19730629,0.024679958,-0.036159639,-0.028478318
19720731,-0.034743735,19730629,0.017391259,-0.012853994,-0.007723678
19720831,-0.023045432,19730629,-0.020147502,0.031783471,0.025583965
19720929,-0.032699957,19730629,0.011741277,-0.011921069,-0.009865803
19721031,-0.029747957,19730629,0.002442848,-0.020216768,-0.00573117
19721130,0.01599399,19730629,-0.017808437,0.032569318,0.034914336
19721229,-0.033355661,19730629,0.03119694,-0.023681114,-0.050785102
19730131,-0.043598584,19730629,0.010194186,0.005920131,0.018550929
19730228,-0.040018788,19730629,-0.016548373,0.005646642,0.016627716
19730330,-0.023860162,19730629,-0.003008506,0.015268555,0.017944098
19730430,-0.026291504,19730629,-0.001649896,0.028707327,0.039245541
19730531,-0.077577953,19730629,0.016498974,-0.007932348,-0.010820073
19730629,-0.024439616,19730629,-0.007894846,0.006519454,-0.006494431
19690731,-0.040592372,19740628,0.00462281,-0.008386646,-0.025845011
19690829,-0.003821262,19740628,0.007530041,-0.015783111,-0.006231501
19690930,-0.001375362,19740628,0.02573042,-0.033920767,-0.020209006
19691031,0.02699638,19740628,0.013182864,-0.020811271,-0.002200771
19691128,-0.02801442,19740628,0.015491258,-0.015273597,-0.037094524
19691231,-0.049309692,19740628,0.041102372,-0.024946902,-0.036658067
19700130,0.025279377,19740628,-0.024823763,-0.002137055,-0.013782698
19700227,-0.019030834,19740628,-0.017780806,0.017712314,0.014017834
19700331,-0.011102335,19740628,-0.012426449,0.017515689,0.010760543
19700430,-0.069126728,19740628,0.001939118,0.006816105,-0.007114388
19700529,-0.049106479,19740628,0.004003072,0.012358141,-0.027868111
19700630,-0.042348638,19740628,0.01949403,-0.01861221,-0.035041245
19700731,-0.006360955,19740628,-0.004066302,0.005221764,0.002913649
19700831,0.021565189,19740628,0.011375171,0.007465086,0.006442468
19700930,0.072577513,19740628,0.01388332,-0.00823735,-0.004410716
19701030,-0.049909639,19740628,0.011276208,-0.015008658,-0.045570025
19701130,-0.035135676,19740628,-0.004505792,0.002186114,0.010185976
19701231,0.037247512,19740628,-0.007492888,0.002016256,0.044766004
19710129,0.077332162,19740628,-0.010545211,0.011369259,0.027818697
19710226,0.016680127,19740628,0.013377231,-0.019884593,-0.011799608
19710331,0.012143864,19740628,0.013862502,-0.026524395,0.002608084
19710430,-0.005856022,19740628,0.024341737,-0.005947372,-0.006237183
19710528,-0.023358752,19740628,0.007860289,-0.017700592,-0.01358657
19710630,-0.026693421,19740628,0.005321767,-0.017199064,-0.016242386
19710730,-0.012333296,19740628,0.008237157,-0.015281155,-0.003930096
19710831,0.008716071,19740628,0.010824512,-0.004792577,0.017256336
19710930,-0.006711369,19740628,0.022108036,-0.026980566,-0.009088309
19711029,-0.024993649,19740628,0.012390295,-0.001225933,-0.007008665
19711130,-0.031511434,19740628,0.022056836,-0.025532343,-0.022020199
19711231,0.032782133,19740628,0.005189335,0.003689138,-0.003809454
19720131,0.070384897,19740628,-0.000204858,-0.012372118,-0.020444671
19720229,0.002752489,19740628,0.012638581,-0.030841379,-0.020709822
19720330,-0.007378015,19740628,0.0170824,-0.026521735,-0.02182356
19720428,-0.002595371,19740628,0.022848568,-0.029154909,-0.022820347
19720531,-0.042223289,19740628,0.027951852,-0.043965061,-0.048439194
19720630,-0.012325322,19740628,0.014361484,-0.042048415,-0.035701526
19720731,-0.033537381,19740628,0.016746127,-0.03367438,-0.029443825
19720831,-0.023611165,19740628,-0.009672699,0.009685608,-0.018806995
19720929,-0.033411991,19740628,0.00313893,-0.007164244,-0.011264189
19721031,-0.026067919,19740628,0.002909106,-0.013107469,-0.013281779
19721130,0.010788853,19740628,-0.014409462,0.024974943,0.040120413
19721229,-0.035813208,19740628,0.038036582,-0.054636992,-0.072116114
19730131,-0.041748037,19740628,0.016033592,-0.017588103,-0.044605841
19730228,-0.041983788,19740628,-0.001378957,0.002538965,-0.013929979
19730330,-0.028329963,19740628,-0.00399897,-0.007117852,-0.009264001
19730430,-0.03194538,19740628,0.001883194,0.003485859,-0.016278488
19730531,-0.076774804,19740628,0.01744228,-0.026827571,-0.050773151
19730629,-0.028159618,19740628,0.00557422,-0.000507406,-0.04403549
19730731,0.069467708,19740628,0.028884412,-0.042424449,-0.027969478
19730831,-0.012999449,19740628,-0.011912375,0.001472786,-0.018877421
19730928,0.054882225,19740628,-0.020269813,0.009909082,0.009812789
19731031,-0.012047591,19740628,0.018739,-0.001107398,-0.058584095
19731130,-0.078184413,19740628,-0.033952922,0.013123232,-0.05963457
19731231,-0.043685179,19740628,-0.006199905,-0.006853107,-0.068365945
19740131,0.136615289,19740628,-0.041456292,0.049980568,0.110737574
19740228,0.006616734,19740628,-0.009481746,0.02593204,0.053184231
19740329,0.00887099,19740628,0.020860978,0.002820589,0.032881183
19740430,-0.016012411,19740628,0.043052886,0.004382501,0.001441246
19740531,-0.053921222,19740628,0.048324396,-0.015128791,-0.007824185
19740628,-0.010178108,19740628,0.011873974,0.014252337,-0.006434257
19700731,-0.01164992,19750630,-0.008406201,3.96E-05,-0.017785951
19700831,0.021532913,19750630,0.008541048,0.011144083,0.011820558
19700930,0.077834043,19750630,0.006458683,0.003865206,0.013317051
19701030,-0.053999892,19750630,0.013006026,-0.019551555,-0.031379971
19701130,-0.040062803,19750630,-0.030030102,0.011734549,0.019543466
19701231,0.03433471,19750630,-0.022047102,0.013792415,0.032118565
19710129,0.077096762,19750630,-0.007734194,0.011542435,0.040086891
19710226,0.018380885,19750630,0.022188633,-0.00728643,-0.019880723
19710331,0.011481247,19750630,-0.00469546,0.006137909,0.003855021
19710430,-0.0020164,19750630,0.013914512,0.008115644,-0.013235346
19710528,-0.022913958,19750630,-0.000403304,-0.013924116,-0.01672118
19710630,-0.026887101,19750630,-0.002859468,-0.020125592,-0.022416579
19710730,-0.017586259,19750630,-7.35E-05,-0.010238833,-0.011210649
19710831,0.013336444,19750630,-0.003059237,0.005430625,0.012451048
19710930,-0.010951103,19750630,0.00759833,-0.001408291,-0.016585782
19711029,-0.023973813,19750630,-0.00657224,-0.014599237,-0.003145116
19711130,-0.032145669,19750630,0.008143201,-0.001807977,-0.010496379
19711231,0.036732335,19750630,0.01406068,-0.013970863,0.009277517
19720131,0.074253657,19750630,0.017978226,-0.013627702,-0.012251705
19720229,0.005896648,19750630,0.008168376,-0.01772448,-0.011940587
19720330,-0.006867913,19750630,0.000637621,-0.004522356,-0.025955825
19720428,-0.005152819,19750630,0.015162576,-0.016966403,-0.012542462
19720531,-0.040192699,19750630,0.021963136,-0.046760664,-0.02779665
19720630,-0.013973584,19750630,0.012386312,-0.020091077,-0.035510049
19720731,-0.031866692,19750630,0.017699194,-0.033708382,-0.03476055
19720831,-0.031382212,19750630,0.020787987,-0.01348061,-0.007163688
19720929,-0.03087899,19750630,-0.008711,-0.005967612,-0.016746278
19721031,-0.030008714,19750630,-0.000781136,-0.01841177,-0.009203604
19721130,0.003041203,19750630,-0.008785174,0.012028547,0.031171065
19721229,-0.033783217,19750630,0.032346277,-0.026354592,-0.050149909
19730131,-0.040321525,19750630,0.045316303,-0.05833005,-0.073083401
19730228,-0.040235687,19750630,0.002195619,-0.010432923,-0.01725635
19730330,-0.026093774,19750630,0.020114185,-0.029850459,-0.020540082
19730430,-0.031800602,19750630,0.013381736,-0.023111225,-0.026230592
19730531,-0.074092733,19750630,0.015759193,-0.033435093,-0.037633718
19730629,-0.025590431,19750630,0.018207748,-0.009599275,-0.030129442
19730731,0.068616922,19750630,0.008564604,-0.009759515,0.014434433
19730831,-0.015403352,19750630,0.002963825,-0.02214819,-0.021182793
19730928,0.048103636,19750630,0.002276491,-0.001998529,0.028109635
19731031,-0.007778179,19750630,0.058256606,-0.059248411,-0.057992372
19731130,-0.079038927,19750630,0.005266123,-0.034025531,-0.064301732
19731231,-0.045378705,19750630,0.03665063,-0.06793324,-0.055116889
19740131,0.132834642,19750630,-0.054508406,0.085109736,0.084482626
19740228,0.001748656,19750630,-0.003860038,0.000595615,0.02078424
19740329,0.012749093,19750630,0.022379766,-0.005525078,-0.015626677
