date_m,SMB_DT97,date_jun,HML_DT97,RMW_DT97,CMA_DT97,MKT_DT97
196103,0.024845267,196506,-0.010754868,-0.015978843,-0.016543608,0.02886820803582668
196104,-0.0023025218,196506,-0.02535336,0.010566314,0.004258791,0.006764451879262924
196105,0.015014695,196506,0.025636867,-0.00894467,-0.024183195,0.027315388169884682
196106,-0.025957812,196506,-0.005406495,0.0187464,0.003359558,-0.02664999631047249
196107,-0.025943192,196506,-0.004109895,0.012140242,0.008520935,0.031972774040699
196108,-0.0063944757,196506,-0.015319176,0.0015962571,-0.0069863945,0.0239839660435915
196109,-0.013473093,196506,-0.022351358,0.040411353,-0.0068242736,-0.014390980918705464
196110,-0.012963794,196506,-0.035854295,0.020294312,-0.004940942,0.031600131219625474
196111,0.0017083958,196506,-0.011923522,0.004405774,0.006607417,0.04798711395263672
196112,-0.0055818623,196506,0.011522942,-0.009732349,-0.016973833,0.006385205811262131
196201,0.021131767,196506,0.026256852,-0.00396044,0.017375514,-0.0333337992221117
196202,-0.006805878,196506,0.004439788,-0.010588907,0.005028134,0.020100457921624182
196203,-0.0013693701,196506,-0.03683176,0.010551426,-0.017789023,-0.004399645280092955
196204,-0.008340713,196506,-0.0039013475,-0.007901497,0.01653774,-0.06100042538046837
196205,-0.02843839,196506,0.03890845,-0.021675542,0.009773359,-0.08207767864465713
196206,0.0011549965,196506,-0.0125459805,-0.017002478,0.020880312,-0.08190560680627823
196207,0.0009806901,196506,-0.04140946,0.026444778,-0.016417582,0.06499702583551407
196208,0.0025306232,196506,-0.024185585,0.0061340015,-0.0018815733,0.02378701027929783
196209,-0.017136514,196506,-0.023044728,0.009108458,0.0075829253,-0.04790165073275566
196210,-0.03144021,196506,-0.0160093,0.012332831,-0.005576065,0.006268298663198947
196211,0.02240283,196506,0.03231886,0.0042081997,-0.012748256,0.1098590384721756
196212,-0.029453902,196506,-0.047056574,0.00638784,0.0031546196,0.015965927210450172
196301,0.02516609,196506,-0.0071148723,0.012579836,0.003913708,0.049787518978118894
196302,0.002463093,196506,0.013901345,-0.0014509857,0.006575465,-0.024018356758356094
196303,-0.021270754,196506,-0.002644144,-0.0043735504,-0.014226366,0.035667450916767124
196304,-0.019451242,196506,0.00935429,0.011698015,-0.018225566,0.04801130428910255
196305,0.011485584,196506,0.005293049,-0.0014016535,-0.012520596,0.021197735911607743
196306,0.0060735643,196506,-0.00012058951,-0.014860801,-0.0026246337,-0.020417588013410568
196307,-0.013745158,196506,-0.02855739,0.0113570485,-0.0087476205,-0.002113839657790959
196308,-0.0019307248,196506,0.006653268,0.006861102,-0.018061083,0.053047278374433515
196309,-0.012185907,196506,0.014085897,0.0061599333,-0.011203513,-0.01321916927099228
196310,-0.0074034296,196506,-0.0040862914,0.03389064,-0.0054674763,0.03269286147356033
196311,-0.010759927,196506,0.0038859863,-0.0019035656,0.0015220395,-0.0075195980489254
196312,-0.017205052,196506,-0.016051032,0.006915005,-0.009817129,0.021998076429963112
196401,-0.011408759,196506,-0.0072088353,0.015065158,-0.014336504,0.025735348954796792
196402,0.0046565644,196506,0.0155881345,0.004950896,-0.017698053,0.017017514684796335
196403,0.02215468,196506,0.041879434,-0.011080489,-0.012285955,0.015501991236209869
196404,-0.010664717,196506,-0.012130597,-0.032932475,0.008785174,0.005303765377402306
196405,-0.005634659,196506,0.008635778,0.0025711022,-0.0052038515,0.013597258606553078
196406,0.006591227,196506,0.00851596,-0.0029716622,-0.012558912,0.016139470532536507
196407,0.006450873,196506,-0.02555542,0.0060914233,0.010815827,0.019977333515882493
196408,0.0074735424,196506,0.004461595,0.0015080124,0.0112124095,-0.012746281090378762
196409,0.0009943955,196506,0.011416186,-0.009654341,0.00022786856,0.0272262700766325
196410,0.0087135285,196506,-0.020202305,-0.0067934953,-0.0020494293,0.0087649204865098
196411,-0.0025231026,196506,-0.05028787,0.008022975,-0.004000147,0.0026525940842926504
196412,-0.012430098,196506,-0.02728617,0.01587119,0.0014426028,0.0027435010723769666
196501,0.02466444,196506,0.003894642,0.017432041,-0.003086958,0.035501590830087665
196502,0.03234701,196506,-0.0031413622,0.008915216,-0.01533475,0.003225921679288149
196503,0.017668918,196506,0.007316334,0.019216198,-0.002500616,-0.014965847662091254
196504,0.0050381124,196506,0.0055258274,0.0123905055,-0.014636874,0.03373173283934593
196505,-0.0051746625,196506,-0.012962028,-0.009092905,0.020590225,-0.004829035982862115
196506,-0.037319195,196506,-0.0009465888,-0.0056776255,0.0018109754,-0.04879766738414754
196107,-0.01914213,196606,0.007350065,-0.0053852834,0.003287159,0.028315177854895592
196108,-0.003673276,196606,-0.0028990395,0.008045305,-0.002222797,0.02310714260339737
196109,-0.012768332,196606,-0.017390996,0.030205796,0.005140243,-0.01825811257660389
196110,-0.015209464,196606,-0.020154316,0.016615173,0.007332064,0.029803885644674302
196111,0.005316511,196606,-0.010014202,-0.0009003952,-0.00042305142,0.04633111065626144
196112,-0.010109751,196606,0.010560644,-0.011998819,-0.010470937,0.006276154457032681
196201,0.017685309,196606,0.011697151,0.01255521,-0.0047051813,-0.03103498032093048
196202,-0.008637611,196606,0.006821125,-0.009490432,0.0028866567,0.01821460048854351
196203,-0.0029611527,196606,-0.028465096,0.01967548,-0.00031887414,-0.004346678171306849
196204,-0.0039189383,196606,0.0087900385,6.562844e-05,0.027433239,-0.06505612285137176
196205,-0.019424714,196606,0.028547928,-0.007194102,0.008627355,-0.08510200341939926
196206,0.0010178164,196606,-0.0023223162,0.00075134635,0.024017692,-0.08480708640813828
196207,-0.004611917,196606,-0.045293134,0.023356676,-0.025140822,0.06653075020313264
196208,0.0007852558,196606,-0.020046275,0.008042013,-0.019677836,0.02554663252532482
196209,-0.012961954,196606,-0.010837752,0.013439026,0.012359709,-0.05143911934494972
196210,-0.02933437,196606,0.010697829,0.003804332,-0.012013476,0.0030826990865170955
196211,0.011733592,196606,0.0038946718,0.003996134,-0.017069012,0.11649735677242279
196212,-0.028025307,196606,-0.026790988,0.010016981,-0.0027553323,0.013344839033484459
196301,0.030827604,196606,-0.0077586547,0.012057893,0.0036453232,0.051719618439674375
196302,0.010258857,196606,0.012806237,-0.0026332662,0.006820645,-0.025040604355931282
196303,-0.019808521,196606,0.0052178875,0.0064120106,-0.004904881,0.03460661117434502
196304,-0.023796862,196606,0.008037921,0.024950169,-0.021700263,0.04975897580385208
196305,0.010683611,196606,0.00583582,0.014464341,-0.03129272,0.023237390092015267
